gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,bachelor's degree,standard,none,87,81,84
male,group A,high school,free/reduced,completed,88,86,81
male,group D,associate's degree,standard,none,70,58,63
male,group E,bachelor's degree,standard,completed,78,71,73
female,group C,master's degree,standard,completed,96,100,100
female,group C,high school,standard,none,82,89,91
male,group A,some high school,standard,none,50,44,45
male,group B,some college,standard,none,87,82,76
male,group B,high school,standard,completed,75,69,79
female,group B,high school,standard,completed,71,69,71
male,group C,associate's degree,standard,none,75,75,76
female,group E,some college,standard,none,71,66,70
male,group B,associate's degree,standard,none,51,48,37
male,group D,some high school,free/reduced,none,50,53,43
male,group D,some high school,standard,completed,95,92,91
female,group D,associate's degree,standard,none,76,80,87
male,group B,high school,standard,none,73,68,63
male,group B,master's degree,standard,none,64,74,69
female,group C,bachelor's degree,standard,none,55,67,66
male,group A,some high school,free/reduced,none,22,30,23
female,group E,associate's degree,standard,none,82,91,85
female,group C,bachelor's degree,standard,none,73,94,93
male,group C,some college,free/reduced,none,57,51,50
male,group D,high school,standard,none,57,46,47
female,group E,associate's degree,free/reduced,none,78,86,79
male,group B,some college,standard,none,59,64,55
female,group D,master's degree,free/reduced,completed,70,78,85
male,group B,high school,standard,none,82,86,79
male,group E,some college,standard,none,100,88,87
female,group D,some college,free/reduced,none,83,90,88
male,group E,master's degree,standard,completed,100,100,100
female,group C,associate's degree,standard,completed,88,100,100
male,group A,high school,free/reduced,completed,63,65,62
female,group D,bachelor's degree,standard,none,50,54,54
female,group A,high school,standard,none,65,69,74
male,group B,some high school,free/reduced,none,50,56,46
female,group C,some college,free/reduced,none,38,54,49
female,group D,some college,standard,none,86,86,82
female,group C,some high school,standard,none,54,61,58
male,group B,some high school,standard,completed,47,44,44
male,group C,some college,standard,completed,86,75,80
male,group C,high school,standard,none,62,58,53
male,group B,associate's degree,standard,none,76,62,52
male,group C,some high school,free/reduced,none,57,62,48
female,group E,some high school,standard,none,86,87,86
female,group E,some college,free/reduced,completed,93,89,94
female,group E,bachelor's degree,free/reduced,none,63,68,72
male,group E,bachelor's degree,standard,none,85,83,76
female,group C,associate's degree,standard,none,73,72,69
male,group E,some college,standard,none,72,69,65
female,group E,bachelor's degree,standard,none,88,83,82
female,group B,bachelor's degree,free/reduced,completed,62,72,81
male,group D,bachelor's degree,free/reduced,completed,84,90,88
female,group D,associate's degree,standard,none,79,83,85
female,group D,bachelor's degree,standard,completed,62,75,82
female,group D,associate's degree,standard,none,53,62,61
male,group E,some college,free/reduced,completed,78,72,71
male,group A,bachelor's degree,free/reduced,none,66,71,64
male,group D,some college,standard,completed,61,52,60
male,group C,high school,free/reduced,none,50,51,39
female,group D,some high school,standard,none,39,55,58
female,group D,bachelor's degree,free/reduced,none,81,88,90
female,group B,high school,standard,none,66,78,76
female,group B,some college,free/reduced,none,61,60,59
female,group C,some college,standard,none,77,77,82
female,group B,high school,free/reduced,completed,29,39,39
female,group A,master's degree,standard,none,62,71,73
male,group E,some college,free/reduced,none,58,56,53
female,group C,some high school,standard,none,31,34,37
female,group D,associate's degree,standard,none,71,83,86
male,group E,associate's degree,standard,completed,70,64,68
female,group B,some college,standard,none,68,67,69
male,group B,some college,standard,completed,71,62,70
male,group D,master's degree,standard,none,85,89,82
male,group C,high school,standard,none,65,66,59
male,group C,bachelor's degree,free/reduced,none,57,54,44
female,group E,associate's degree,free/reduced,none,87,100,94
female,group E,high school,standard,none,80,81,82
female,group C,master's degree,standard,completed,93,100,100
male,group D,some high school,standard,completed,71,65,71
female,group B,some high school,standard,none,62,70,67
female,group D,some college,standard,none,54,69,67
female,group D,some high school,free/reduced,none,49,65,66
female,group B,bachelor's degree,free/reduced,completed,58,74,78
male,group B,high school,free/reduced,none,46,47,42
male,group C,some college,standard,completed,78,67,72
male,group C,high school,free/reduced,none,65,71,66
male,group B,associate's degree,free/reduced,none,36,43,36
male,group D,associate's degree,standard,none,80,80,76
male,group C,some college,standard,none,99,85,80
male,group C,associate's degree,free/reduced,completed,71,68,72
male,group C,some college,standard,none,63,55,57
male,group E,associate's degree,standard,none,90,76,77
female,group D,high school,standard,completed,51,67,63
female,group B,some high school,free/reduced,none,49,52,52
male,group C,some college,free/reduced,completed,51,48,55
male,group C,high school,free/reduced,none,59,55,47
female,group C,some college,free/reduced,none,30,45,47
male,group D,high school,free/reduced,none,67,73,72
male,group D,master's degree,free/reduced,none,57,60,59
female,group B,associate's degree,standard,none,55,69,64
female,group D,some college,standard,none,69,70,77
female,group D,bachelor's degree,free/reduced,completed,68,76,85
female,group E,some college,standard,none,78,79,80
male,group D,associate's degree,standard,none,93,95,89
female,group E,high school,free/reduced,completed,91,93,96
male,group C,some college,free/reduced,none,60,57,53
male,group D,some college,standard,none,76,80,83
male,group C,bachelor's degree,standard,none,66,60,58
female,group E,some college,standard,completed,89,88,96
male,group D,bachelor's degree,standard,completed,83,83,84
male,group C,associate's degree,standard,none,60,59,49
male,group D,some college,standard,completed,92,96,97
female,group C,bachelor's degree,standard,completed,83,88,92
male,group D,some high school,standard,completed,73,74,76
female,group D,some college,standard,completed,73,72,78
male,group B,high school,standard,completed,69,69,63
male,group C,some high school,free/reduced,none,50,52,45
male,group C,high school,free/reduced,none,66,62,56
female,group B,some college,standard,completed,79,92,91
female,group B,high school,standard,none,78,79,74
male,group A,some college,standard,none,51,44,42
male,group B,some college,standard,completed,92,100,93
male,group C,high school,standard,completed,78,75,71
female,group C,some high school,free/reduced,completed,55,65,66
male,group C,high school,standard,completed,84,77,77
male,group E,some high school,standard,none,91,84,76
male,group D,master's degree,free/reduced,none,65,55,55
male,group D,some high school,standard,none,87,87,83
male,group C,high school,standard,completed,79,70,70
male,group C,bachelor's degree,standard,none,74,70,64
male,group D,associate's degree,standard,none,86,73,71
female,group C,high school,standard,none,48,61,62
female,group C,some college,standard,completed,86,99,98
female,group D,master's degree,standard,completed,86,86,92
male,group D,high school,standard,none,66,65,65
male,group D,high school,standard,completed,65,61,63
male,group E,associate's degree,standard,completed,100,100,98
male,group C,some high school,free/reduced,none,55,52,47
male,group D,high school,standard,none,86,70,77
female,group B,bachelor's degree,standard,completed,60,62,69
male,group B,some college,standard,completed,75,70,72
female,group E,some college,standard,none,52,67,70
female,group C,associate's degree,standard,completed,78,91,85
female,group E,high school,standard,none,90,91,85
female,group E,associate's degree,standard,none,80,87,82
